Title,Title_link,list-card-price,list-card-type,Field2,Field1,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"2248 Ridgedale Rd NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2248-Ridgedale-Rd-NE-Atlanta-GA-30317/14465771_zpid/,"$375,000",House for sale,2 ba,3 bds,"1,484 sqft","$424,378",Single Family,1946,Forced air,Central,2 spaces,0.4 acres,$253,"$1,855"
"139 Whitefoord Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/139-Whitefoord-Ave-NE-Atlanta-GA-30307/89584579_zpid/,"$535,000",Townhouse for sale,3 ba,3 bds,"1,728 sqft","$437,444",Townhouse,2008,Forced air,Central,3 spaces,"4,356 sqft",$310,"$2,644"
"120 Candler Dr, Decatur, GA 30030",https://www.zillow.com/homedetails/120-Candler-Dr-Decatur-GA-30030/14464707_zpid/,"$550,000",House for sale,1 ba,3 bds,"1,350 sqft",,Single Family,1946,Other,Other,No Data,0.3 acres,$407,"$2,719"
"713 Moreland Ave SE # 3, Atlanta, GA 30316",https://www.zillow.com/homedetails/713-Moreland-Ave-SE-3-Atlanta-GA-30316/2088168331_zpid/,"$524,900",Townhouse for sale,4 ba,3 bds,"1,978 sqft","$534,986",Townhouse,2019,Heat pump,Central,2 spaces,No Data,$265,"$2,602"
"230 Degress Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/230-Degress-Ave-NE-Atlanta-GA-30307/35843269_zpid/,"$465,000",House for sale,2 ba,2 bds,"1,260 sqft",,Single Family,1920,Forced air,Central,No Data,"7,680 sqft",$369,"$2,283"
"1287 Euclid Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1287-Euclid-Ave-NE-Atlanta-GA-30307/14479162_zpid/,"$475,000",House for sale,2 ba,4 bds,"1,614 sqft","$540,887",Single Family,1920,Forced air,Central,2 spaces,"8,712 sqft",$294,"$2,348"
"470 Monument Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/470-Monument-Ave-SE-Atlanta-GA-30316/14456527_zpid/,"$345,000",House for sale,2 ba,2 bds,"1,792 sqft","$396,129",Single Family,1925,Forced air,Central,No Data,"8,712 sqft",$193,"$1,705"
"490 N Highland Ave NE UNIT 1B, Atlanta, GA 30307",https://www.zillow.com/homedetails/490-N-Highland-Ave-NE-UNIT-1B-Atlanta-GA-30307/82618814_zpid/,"$600,000",Condo for sale,3 ba,2 bds,"1,332 sqft","$585,314",Condo,2002,Forced air,Central,2 spaces,$444/month,$450,"$3,393"
"2129 Hosea L Williams Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2129-Hosea-L-Williams-Dr-SE-Atlanta-GA-30317/14466081_zpid/,"$619,900",House for sale,3 ba,4 bds,"1,780 sqft","$587,727",Single Family,1986,Forced air,Central,No Data,0.3 acres,$348,"$3,154"
"Alder Plan, Bixton",https://www.zillow.com/community/bixton/2082448195_zpid/,"$471,900+",New construction,4 ba,3 bds,"2,400 sqft","$462,403",Single Family,2019,No Data,No Data,2 spaces,No Data,$197,"$2,333"
"564 Goldsboro Rd NE APT B, Atlanta, GA 30307",https://www.zillow.com/homedetails/564-Goldsboro-Rd-NE-APT-B-Atlanta-GA-30307/112833038_zpid/,"$160,024",Auction,1 ba,2 bds,840 sqft,,Condo,1951,Forced air,Central,1 space,No Data,,$821
"82 Rogers St NE, Atlanta, GA",https://www.zillow.com/homedetails/82-Rogers-St-NE-Atlanta-GA-30317/2082132271_zpid/,"$650,217",New construction,4 ba,3 bds,"2,133 sqft","$623,168",Single Family,2019,No Data,No Data,2 spaces,No Data,$305,"$3,308"
"Clifton Plan, Bixton",https://www.zillow.com/community/bixton/2082448196_zpid/,"$566,900+",New construction,3 ba,3 bds,"2,558 sqft","$555,434",Single Family,2019,No Data,No Data,2 spaces,No Data,$222,"$2,805"
"56 Mortimer St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/56-Mortimer-St-SE-Atlanta-GA-30317/14467914_zpid/,"$324,900",House for sale,1 ba,2 bds,"1,002 sqft","$294,307",Single Family,1925,Forced air,Central,1 space,"8,712 sqft",$324,"$1,606"
"621 Moreland Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/621-Moreland-Ave-SE-Atlanta-GA-30316/59934151_zpid/,"$574,900",New construction,3 ba,4 bds,"2,548 sqft","$554,367",Single Family,2019,Forced air,Central,Detached Garage,"7,492 sqft",$226,"$2,844"
"412 E Side Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/412-E-Side-Ave-SE-Atlanta-GA-30316/14456894_zpid/,"$814,000",House for sale,3 ba,4 bds,"2,727 sqft","$807,599",Single Family,1935,Gas,No Data,No Data,"10,454 sqft",$298,"$4,141"
"173 Albright Way # 13, Atlanta, GA",https://www.zillow.com/homedetails/173-Albright-Way-13-Atlanta-GA-30317/2082154548_zpid/,"$599,900",New construction,4 ba,3 bds,"2,413 sqft","$573,139",Single Family,2019,Forced air,Central,Attached Garage,No Data,$249,"$3,088"
"173 Albright Way, Atlanta, GA",https://www.zillow.com/homedetails/173-Albright-Way-Atlanta-GA-30317/2082155035_zpid/,"$599,900",New construction,4 ba,3 bds,"2,412 sqft","$574,372",Single Family,2018,No Data,No Data,No Data,No Data,$249,"$3,088"
"56 Vinson Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/56-Vinson-Dr-SE-Atlanta-GA-30317/14467414_zpid/,"$249,000",House for sale,1 ba,2 bds,896 sqft,"$233,630",Single Family,1947,Forced air,None,Detached Garage,"7,200 sqft",$278,"$1,278"
"56 Mortimer St SE # NA, Atlanta, GA 30317",https://www.zillow.com/homedetails/56-Mortimer-St-SE-NA-Atlanta-GA-30317/2082163286_zpid/,"$324,900",House for sale,1 ba,2 bds,"1,002 sqft","$305,156",Single Family,1925,Forced air,Central,1 space,"8,712 sqft",$324,"$1,606"
"1189 Mclendon Ave NE APT 2, Atlanta, GA 30307",https://www.zillow.com/homedetails/1189-Mclendon-Ave-NE-APT-2-Atlanta-GA-30307/14468537_zpid/,"$147,000",Condo for sale,1 ba,1 bd,684 sqft,"$134,599",Condo,1925,No Data,Central,No Data,$225/month,$215,$980
"75 Weatherby St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/75-Weatherby-St-SE-Atlanta-GA-30316/35839077_zpid/,"$315,000",House for sale,1 ba,2 bds,756 sqft,"$303,333",Single Family,1955,Other,Central,No Data,"4,573 sqft",$417,"$1,546"
"1661 La France St NE UNIT 401, Atlanta, GA 30307",https://www.zillow.com/homedetails/1661-La-France-St-NE-UNIT-401-Atlanta-GA-30307/70831683_zpid/,"$345,000",Condo for sale,2 ba,2 bds,"1,368 sqft","$329,319",Condo,2004,Forced air,Central,2 spaces,$312/month,$252,"$2,017"
"1312 Axis Cir NE # 2, Atlanta, GA 30307",https://www.zillow.com/homedetails/1312-Axis-Cir-NE-2-Atlanta-GA-30307/2082176627_zpid/,"$579,900",Townhouse for sale,4 ba,3 bds,"2,310 sqft",,Townhouse,2016,Forced air,Central,Attached Garage,No Data,$251,"$2,869"
"1445 Meridian St SE, Atlanta, GA",https://www.zillow.com/homedetails/1445-Meridian-St-SE-Atlanta-GA-30317/2082176926_zpid/,"$699,900",New construction,4 ba,4 bds,"3,714 sqft","$684,727",Single Family,2019,Forced air,Central,Attached Garage,"7,492 sqft",$188,"$3,561"
"1105 Faith Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/1105-Faith-Ave-SE-Atlanta-GA-30316/35836509_zpid/,"$488,696",New construction,4 ba,5 bds,"4,000 sqft","$476,787",Single Family,2016,Other,Central,No Data,0.27 acres,$122,"$2,399"
"406 E Side Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/406-E-Side-Ave-SE-Atlanta-GA-30316/14456893_zpid/,"$650,000",House for sale,4 ba,5 bds,"2,943 sqft","$628,265",Single Family,2018,Forced air,Central,4 spaces,"4,356 sqft",$221,"$3,307"
"1684 Braeburn Dr SE # .EMPTY, Atlanta, GA 30316",https://www.zillow.com/homedetails/1684-Braeburn-Dr-SE-EMPTY-Atlanta-GA-30316/2082208615_zpid/,"$460,000",House for sale,3 ba,4 bds,"2,000 sqft","$435,425",Single Family,1972,Forced air,Central,No Data,"8,712 sqft",$230,"$2,274"
"308 Warren St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/308-Warren-St-SE-Atlanta-GA-30317/14457311_zpid/,"$459,000",House for sale,2 ba,3 bds,"2,000 sqft","$443,699",Single Family,2012,"Forced air, Heat pump",Central,2 spaces,0.4 acres,$230,"$2,269"
"2036 Emery Pl NE, Atlanta, GA",https://www.zillow.com/homedetails/2036-Emery-Pl-NE-Atlanta-GA-30317/14469022_zpid/,"$839,900",New construction,5 ba,5 bds,"3,600 sqft","$812,990",Single Family,2019,Other,Other,2 spaces,0.3 acres,$233,"$4,273"
"395 Morgan Pl SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/395-Morgan-Pl-SE-Atlanta-GA-30317/14457742_zpid/,"$429,000",House for sale,3 ba,3 bds,"1,520 sqft","$405,166",Single Family,1950,Forced air,Central,Off street,"8,712 sqft",$282,"$2,120"
"2029 Memorial Dr SE # 20, Atlanta, GA",https://www.zillow.com/homedetails/2029-Memorial-Dr-SE-20-Atlanta-GA-30317/2088175474_zpid/,"$469,900",New construction,4 ba,3 bds,"2,605 sqft",,Townhouse,2018,Forced air,Central,Attached Garage,No Data,$180,"$2,323"
"1463 La France St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1463-La-France-St-NE-Atlanta-GA-30307/14468735_zpid/,"$550,000",Townhouse for sale,4 ba,3 bds,"2,124 sqft","$526,711",Townhouse,2017,No Data,Central,No Data,1 acre,$259,"$2,719"
"1463 La France St NE APT 12, Atlanta, GA 30307",https://www.zillow.com/homedetails/1463-La-France-St-NE-APT-12-Atlanta-GA-30307/2082230720_zpid/,"$550,000",Townhouse for sale,4 ba,3 bds,"2,124 sqft","$524,059",Townhouse,2017,No Data,No Data,4 spaces,No Data,$259,"$2,894"
"1558 Liberty Ave SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1558-Liberty-Ave-SE-Atlanta-GA-30317/126049444_zpid/,"$419,900",House for sale,3 ba,3 bds,"2,000 sqft","$406,353",Single Family,2016,"Forced air, Heat pump",Central,None,"4,356 sqft",$210,"$2,075"
"1258 Euclid Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1258-Euclid-Ave-NE-Atlanta-GA-30307/14479129_zpid/,"$575,000",House for sale,2 ba,3 bds,"1,438 sqft","$549,350",Single Family,1910,No Data,Central,2 spaces,"4,356 sqft",$400,"$2,845"
"2128 Hosea L Williams Dr NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2128-Hosea-L-Williams-Dr-NE-Atlanta-GA-30317/14466282_zpid/,"$425,000",House for sale,2 ba,6 bds,"2,237 sqft",,Single Family,1930,Forced air,Central,1 space,"8,712 sqft",$190,"$2,101"
"384 Ridgecrest Rd NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/384-Ridgecrest-Rd-NE-Atlanta-GA-30307/14478049_zpid/,"$400,000",House for sale,1 ba,3 bds,"1,472 sqft","$383,360",Single Family,1941,Forced air,Central,2 spaces,"8,712 sqft",$272,"$1,977"
"1126 Village Ct SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1126-Village-Ct-SE-Atlanta-GA-30316/65460582_zpid/,"$372,900",Townhouse for sale,4 ba,2 bds,"1,600 sqft","$365,193",Townhouse,2001,Forced air,Central,2 spaces,"1,219 sqft",$233,"$2,112"
"127 Clay St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/127-Clay-St-SE-Atlanta-GA-30317/14466970_zpid/,"$415,000",House for sale,2 ba,2 bds,"1,613 sqft","$424,337",Single Family,1947,Forced air,Central,1 space,"8,712 sqft",$257,"$2,051"
"334 Gibson St SE # 14, Atlanta, GA 30316",https://www.zillow.com/homedetails/334-Gibson-St-SE-14-Atlanta-GA-30316/2082131353_zpid/,"$599,900",Townhouse for sale,4 ba,2 bds,"2,277 sqft","$571,997",Townhouse,No Data,No Data,No Data,No Data,No Data,$263,"$2,948"
"328 Gibson St SE # 11, Atlanta, GA 30316",https://www.zillow.com/homedetails/328-Gibson-St-SE-11-Atlanta-GA-30316/2082131352_zpid/,"$599,900",Townhouse for sale,4 ba,2 bds,"2,277 sqft","$571,803",Townhouse,No Data,No Data,No Data,No Data,No Data,$263,"$2,948"
"The Fairlie Plan, Pratt Stacks",https://www.zillow.com/community/pratt-stacks/2082336533_zpid/,"$454,900+",New construction,3 ba,4 bds,"2,264 sqft","$443,045",Townhouse,2019,No Data,No Data,1 space,No Data,$201,"$2,233"
"655 Kennesaw Ave NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/655-Kennesaw-Ave-NE-Atlanta-GA-30308/35880289_zpid/,"$695,000",Apartment for sale,-- ba,Studio,"3,200 sqft","$682,109",Multi Family,1935,Forced air,Central,5 spaces,$217,,"$3,513"
"The Boulevard Plan, The Views on Ponce",https://www.zillow.com/community/views-on-ponce/2084427491_zpid/,"$959,315+",New construction,4 ba,3 bds,"2,557 sqft","$934,443",Townhouse,2019,No Data,No Data,2 spaces,No Data,$375,"$4,848"
"The Decatur Plan, Pratt Stacks",https://www.zillow.com/community/pratt-stacks/2082336532_zpid/,"$459,900+",New construction,3 ba,2 bds,"1,995 sqft","$448,533",Townhouse,2019,No Data,No Data,1 space,No Data,$231,"$2,258"
"655 Mead St SE UNIT 26, Atlanta, GA 30312",https://www.zillow.com/homedetails/655-Mead-St-SE-UNIT-26-Atlanta-GA-30312/71753357_zpid/,"$349,999",Townhouse for sale,3 ba,3 bds,"1,840 sqft","$340,818",Townhouse,2005,Forced air,Central,2 spaces,910 sqft,$190,"$1,957"
"478 Hamilton St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/478-Hamilton-St-SE-Atlanta-GA-30316/69365676_zpid/,"$799,000",House for sale,4 ba,4 bds,"3,232 sqft","$782,576",Single Family,2005,Forced air,Central,4 spaces,"3,920 sqft",$247,"$4,179"
"The Glenwood Plan, Madison Yards at Reynoldstown",https://www.zillow.com/community/madison-yards-at-reynoldstown/2082390360_zpid/,"$574,900+",New construction,4 ba,2 bds,"2,277 sqft","$564,633",Townhouse,2019,No Data,No Data,No Data,No Data,$252,"$2,825"
"The Boulevard II Plan, The Views on Ponce",https://www.zillow.com/community/views-on-ponce/2084427490_zpid/,"$984,870+",New construction,4 ba,3 bds,"2,644 sqft","$959,336",Townhouse,2019,No Data,No Data,2 spaces,No Data,$372,"$4,978"
"201 Plan, United Lofts",https://www.zillow.com/community/united-lofts/2082180856_zpid/,"$199,900+",New construction,1 ba,1 bd,645 sqft,,Condo,2019,Heat pump,Central,"Carport, Off street, On street",$195/month,$310,"$1,214"
"836 Saint Charles Ave NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/836-Saint-Charles-Ave-NE-Atlanta-GA-30306/35854604_zpid/,"$285,000",Townhouse for sale,2 ba,1 bd,"1,061 sqft","$278,372",Townhouse,1983,Forced air,Other,1 space,"1,045 sqft",$269,"$1,519"
"953 Cummings St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/953-Cummings-St-SE-Atlanta-GA-30316/35839181_zpid/,"$399,900",House for sale,2 ba,2 bds,"1,535 sqft","$392,010",Single Family,1930,Forced air,Central,3 spaces,"4,299 sqft",$261,"$1,963"
"170 Boulevard SE APT H220, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-APT-H220-Atlanta-GA-30312/2091262365_zpid/,"$329,000",Condo for sale,1 ba,1 bd,994 sqft,"$317,992",Condo,2006,Forced air,Central,1 space,$257/month,$331,"$1,872"
"A202 Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2087593731_zpid/,"$359,900+",New construction,1 ba,1 bd,739 sqft,"$349,726",Condo,2019,No Data,No Data,2 spaces,No Data,$487,"$1,767"
"The Abernathy Plan, Pratt Stacks",https://www.zillow.com/community/pratt-stacks/2082336536_zpid/,"$389,900+",New construction,2 ba,2 bds,"1,493 sqft","$379,005",Townhouse,2019,No Data,No Data,1 space,No Data,$261,"$1,914"
"456 Parkway Dr NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/456-Parkway-Dr-NE-Atlanta-GA-30308/35879293_zpid/,"$550,000",For sale by owner,3 ba,3 bds,"2,010 sqft","$735,519",Townhouse,2019,No Data,Central,2 spaces,"10,000 sqft",$274,"$2,800"
"The Reynolds Plan, Madison Yards at Reynoldstown",https://www.zillow.com/community/madison-yards-at-reynoldstown/2082390354_zpid/,"$699,900+",New construction,5 ba,3 bds,"2,907 sqft","$683,993",Townhouse,2019,No Data,No Data,No Data,No Data,$241,"$3,537"
"607 Pickett St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/607-Pickett-St-SE-Atlanta-GA-30316/35862582_zpid/,"$419,000",House for sale,1 ba,3 bds,"1,144 sqft","$412,621",Single Family,1989,Forced air,Central,2 spaces,"3,920 sqft",$366,"$2,057"
"Richmond Plan, The Swift",https://www.zillow.com/community/swift/2092491240_zpid/,"$443,000+",New construction,4 ba,3 bds,"2,071 sqft",,Townhouse,2019,No Data,No Data,1 space,No Data,$214,"$2,175"
"400 Village Pkwy NE APT 112, Atlanta, GA 30306",https://www.zillow.com/homedetails/400-Village-Pkwy-NE-APT-112-Atlanta-GA-30306/82627765_zpid/,"$395,000",Condo for sale,2 ba,1 bd,"1,160 sqft","$385,481",Condo,2001,Forced air,Central,No Data,$258/month,$341,"$2,197"
"733 Frederica St NE APT 16, Atlanta, GA 30306",https://www.zillow.com/homedetails/733-Frederica-St-NE-APT-16-Atlanta-GA-30306/2082712740_zpid/,"$218,000",Condo for sale,1 ba,1 bd,717 sqft,"$207,741",Condo,1929,Forced air,Other,1 space,$200/month,$304,"$1,312"
"D206 Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2087593732_zpid/,"$564,900+",New construction,2 ba,2 bds,"1,172 sqft","$549,848",Condo,2019,No Data,No Data,2 spaces,No Data,$482,"$2,773"
"2250 Melody Ln, Decatur, GA 30032",https://www.zillow.com/homedetails/2250-Melody-Ln-Decatur-GA-30032/14448195_zpid/,"$272,900",House for sale,2 ba,3 bds,"1,395 sqft","$256,517",Single Family,1954,Forced air,Central,4 spaces,"8,712 sqft",$196,"$1,349"
"640 Glen Iris Dr NE APT 506, Atlanta, GA 30308",https://www.zillow.com/homedetails/640-Glen-Iris-Dr-NE-APT-506-Atlanta-GA-30308/82612609_zpid/,"$479,900",Condo for sale,2 ba,2 bds,"1,273 sqft","$470,674",Condo,2001,Heat pump,Central,4 spaces,$450/month,$377,"$2,806"
"101 Plan, United Lofts",https://www.zillow.com/community/united-lofts/2082180853_zpid/,"$219,900+",New construction,1 ba,1 bd,731 sqft,"$208,172",Condo,2019,Heat pump,Central,"Carport, Off street, On street",$195/month,$301,"$1,316"
"850 Ralph Mcgill Blvd NE APT 11, Atlanta, GA 30306",https://www.zillow.com/homedetails/850-Ralph-Mcgill-Blvd-NE-APT-11-Atlanta-GA-30306/82611104_zpid/,"$499,000",Condo for sale,3 ba,2 bds,"1,742 sqft","$489,698",Condo,2000,Forced air,Central,4 spaces,$587/month,$286,"$3,037"
"Jackson Plan, The Swift",https://www.zillow.com/community/swift/2092491243_zpid/,"$410,000+",New construction,4 ba,3 bds,"1,789 sqft",,Townhouse,2019,No Data,No Data,1 space,No Data,$229,"$2,013"
"1078 Park Row North SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/1078-Park-Row-North-SE-Atlanta-GA-30312/69381080_zpid/,"$235,000",Townhouse for sale,2 ba,1 bd,"1,022 sqft","$230,917",Townhouse,2004,Forced air,Central,Attached Garage,"1,742 sqft",$230,"$1,386"
"1004 Wylie St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1004-Wylie-St-SE-Atlanta-GA-30316/171406934_zpid/,"$629,900",Apartment for sale,4 ba,4 bds,"2,210 sqft","$606,470",Multi Family,1915,Forced air,Central,Off street,$285,,"$3,184"
"1175 Gilbert St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1175-Gilbert-St-SE-Atlanta-GA-30316/35828933_zpid/,"$365,000",House for sale,2 ba,3 bds,"1,218 sqft","$364,532",Single Family,1920,Forced air,Central,3 spaces,"9,583 sqft",$300,"$1,792"
"920 Memorial Dr SE UNIT 33, Atlanta, GA 30316",https://www.zillow.com/homedetails/920-Memorial-Dr-SE-UNIT-33-Atlanta-GA-30316/2082184014_zpid/,"$429,900",Townhouse for sale,2 ba,2 bds,-- sqft,"$417,644",Townhouse,2005,Forced air,Central,2 spaces,871 sqft,No Data,"$2,111"
"855-B Saint Charles Ave NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/855-B-Saint-Charles-Ave-NE-Atlanta-GA-30306/2082184333_zpid/,"$799,900",House for sale,4 ba,4 bds,"2,688 sqft",,Single Family,2000,Forced air,Central,Attached Garage,"5,662 sqft",$298,"$4,043"
"791 Wylie St SE APT 502, Atlanta, GA 30316",https://www.zillow.com/homedetails/791-Wylie-St-SE-APT-502-Atlanta-GA-30316/2129735238_zpid/,"$389,000",Condo for sale,2 ba,2 bds,"1,002 sqft","$374,369",Condo,2003,Forced air,Central,Detached Garage,$333/month,$388,"$2,243"
"1875 Flat Shoals Rd SE, Atlanta, GA",https://www.zillow.com/homedetails/1875-Flat-Shoals-Rd-SE-Atlanta-GA-30316/14447046_zpid/,"$475,000",New construction,4 ba,3 bds,"1,744 sqft","$455,672",Single Family,2019,Forced air,None,No Data,"8,712 sqft",$272,"$2,348"
"The Brookhaven Plan, Pratt Stacks",https://www.zillow.com/community/pratt-stacks/2082336534_zpid/,"$489,900+",New construction,3 ba,3 bds,"2,236 sqft","$478,765",Townhouse,2019,No Data,No Data,1 space,No Data,$219,"$2,405"
"493:B Winton Ter NE # B, Atlanta, GA 30308",https://www.zillow.com/homedetails/493B-Winton-Ter-NE-B-Atlanta-GA-30308/2082191981_zpid/,"$675,000",Townhouse for sale,4 ba,3 bds,-- sqft,,Townhouse,2019,Gas,Central,No Data,"2,178 sqft",No Data,"$3,412"
"921 Virginia Cir NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/921-Virginia-Cir-NE-Atlanta-GA-30306/35895747_zpid/,"$799,000",House for sale,2 ba,3 bds,"2,477 sqft","$775,805",Single Family,1918,Forced air,Central,Off street,"6,534 sqft",$323,"$4,038"
"C4 Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2088571276_zpid/,"$636,900+",New construction,2 ba,2 bds,"1,172 sqft","$621,132",Condo,2019,No Data,No Data,2 spaces,No Data,$543,"$3,219"
"252 Powell St SE, Atlanta, GA",https://www.zillow.com/homedetails/252-Powell-St-SE-Atlanta-GA-30316/35862901_zpid/,"$750,000",New construction,4 ba,3 bds,"2,110 sqft","$730,831",Single Family,2019,"Forced air, Heat pump",Central,No Data,"5,706 sqft",$355,"$3,791"
"1105 Faith Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/1105-Faith-Ave-SE-Atlanta-GA-30316/35836509_zpid/,"$488,696",New construction,4 ba,5 bds,"4,000 sqft","$476,787",Single Family,2016,Other,Central,No Data,0.27 acres,$122,"$2,399"
"1767 Russell St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1767-Russell-St-SE-Atlanta-GA-30316/87688641_zpid/,"$499,900",House for sale,4 ba,4 bds,"2,502 sqft","$485,566",Single Family,2018,Forced air,Central,4 spaces,0.6 acres,$200,"$2,512"
"406 E Side Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/406-E-Side-Ave-SE-Atlanta-GA-30316/14456893_zpid/,"$650,000",House for sale,4 ba,5 bds,"2,943 sqft","$628,265",Single Family,2018,Forced air,Central,4 spaces,"4,356 sqft",$221,"$3,307"
"Rockford Plan, The Swift",https://www.zillow.com/community/swift/2092491242_zpid/,"$441,139+",New construction,4 ba,2 bds,"2,074 sqft",,Townhouse,2019,No Data,No Data,1 space,No Data,$213,"$2,166"
"1012 Custer Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/1012-Custer-Ave-SE-Atlanta-GA-30316/35891891_zpid/,"$549,000",New construction,4 ba,4 bds,"2,260 sqft","$526,731",Single Family,2019,Gas,Central,No Data,0.41 acres,$243,"$2,695"
"659 Auburn Ave NE APT 123, Atlanta, GA 30312",https://www.zillow.com/homedetails/659-Auburn-Ave-NE-APT-123-Atlanta-GA-30312/88825819_zpid/,"$325,000",Condo for sale,1 ba,1 bd,"1,038 sqft","$318,879",Condo,1925,Forced air,Central,1 space,$223/month,$313,"$1,819"
"1684 Braeburn Dr SE # .EMPTY, Atlanta, GA 30316",https://www.zillow.com/homedetails/1684-Braeburn-Dr-SE-EMPTY-Atlanta-GA-30316/2082208615_zpid/,"$460,000",House for sale,3 ba,4 bds,"2,000 sqft","$435,425",Single Family,1972,Forced air,Central,No Data,"8,712 sqft",$230,"$2,274"
"308 Warren St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/308-Warren-St-SE-Atlanta-GA-30317/14457311_zpid/,"$459,000",House for sale,2 ba,3 bds,"2,000 sqft","$443,699",Single Family,2012,"Forced air, Heat pump",Central,2 spaces,0.4 acres,$230,"$2,269"
"2036 Emery Pl NE, Atlanta, GA",https://www.zillow.com/homedetails/2036-Emery-Pl-NE-Atlanta-GA-30317/14469022_zpid/,"$839,900",New construction,5 ba,5 bds,"3,600 sqft","$812,990",Single Family,2019,Other,Other,2 spaces,0.3 acres,$233,"$4,273"
"395 Morgan Pl SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/395-Morgan-Pl-SE-Atlanta-GA-30317/14457742_zpid/,"$429,000",House for sale,3 ba,3 bds,"1,520 sqft","$405,166",Single Family,1950,Forced air,Central,Off street,"8,712 sqft",$282,"$2,120"
"170 Boulevard SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-Atlanta-GA-30312/88811609_zpid/,"$535,000",Condo for sale,2 ba,2 bds,"1,855 sqft","$523,321",Condo,2007,Forced air,Central,1 space,$508/month,$288,"$3,135"
"301 Atlanta Ave SE APT 1, Atlanta, GA 30315",https://www.zillow.com/homedetails/301-Atlanta-Ave-SE-APT-1-Atlanta-GA-30315/65461039_zpid/,"$175,000",Condo for sale,1 ba,2 bds,736 sqft,"$170,355",Condo,1920,Forced air,Central,2 spaces,$300/month,$238,"$1,192"
"2029 Memorial Dr SE # 20, Atlanta, GA",https://www.zillow.com/homedetails/2029-Memorial-Dr-SE-20-Atlanta-GA-30317/2088175474_zpid/,"$469,900",New construction,4 ba,3 bds,"2,605 sqft",,Townhouse,2018,Forced air,Central,Attached Garage,No Data,$180,"$2,323"
"848 Durant Pl NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/848-Durant-Pl-NE-Atlanta-GA-30308/35879772_zpid/,"$699,000",House for sale,3 ba,3 bds,"3,523 sqft",,Single Family,1928,Forced air,Central,No Data,"7,971 sqft",$198,"$3,533"
"A107 Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2085929965_zpid/,"$417,900+",New construction,1 ba,1 bd,879 sqft,"$405,856",Condo,2019,No Data,No Data,2 spaces,No Data,$475,"$2,052"
"742 Hamilton Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/742-Hamilton-Ave-SE-Atlanta-GA-30312/35869555_zpid/,"$429,900",House for sale,2 ba,3 bds,"1,500 sqft","$419,797",Single Family,1928,"Forced air, Heat pump",Central,2 spaces,"4,356 sqft",$287,"$2,111"
